Sigle,Goupe_Bancaire,ANNEE,EMPLOI,BILAN,RESSOURCES,FONDS.PROPRE,EFFECTIF,AGENCE,COMPTE,INTERETS.ET.PRODUITS.ASSIMILES,NTERETS.ET.CHARGES.ASSIMILEES,REVENUS.DES.TITRES.A.REVENU.VARIABLE,COMMISSIONS.(PRODUITS),COMMISSIONS.(CHARGES),GAINS.OU.PERTES.NETS.SUR.OPERATIONS.DES.PORTEFEUILLES.DE.NEGOCIATION,GAINS.OU.PERTES.NETS.SUR.OPERATIONS.DES.PORTEFEUILLES.DE.PLACEMENT.ET.ASSIMILES,AUTRES.PRODUITS.D'EXPLOITATION.BANCAIRE,AUTRES.CHARGES.D'EXPLOITATION.BANCAIRE,PRODUIT.NET.BANCAIRE,SUBVENTIONS.D'INVESTISSEMENT,CHARGES.GENERALES.D'EXPLOITATION,DOTATIONS.AUX.AMORTISSEMENTS.ET.AUX.DEPRECIATIONS.DES.IMMOBILISATIONS.INCORPORELLES.ET.CORPORELLES,RESULTAT.BRUT.D'EXPLOITATION,COÛT.DU.RISQUE,RESULTAT.D'EXPLOITATION,GAINS.OU.PERTES.NETS.SUR.ACTIFS.IMMOBILISES,RESULTAT.AVANT.IMPÔT,IMPÔTS.SUR.LES.BENEFICES,RESULTAT.NET,source,CAISSE.BANQUE.CENTRALE.CCP,EFFETS.PUBLICS.ET.VALEURS.ASSIMILÉES,CRÉANCES.INTERBANCAIRES.ET.ASSIMILÉES,CRÉANCES.SUR.LA.CLIENTÈLE,OBLIGATIONS.ET.AUTRES.TITRES.À.REVENU.FIXE,ACTIONS.ET.AUTRES.TITRES.À.REVENU.VARIABLE,ACTIONNAIRES.OU.ASSOCIÉS,AUTRES.ACTIFS,COMPTES.DE.RÉGULARISATION,PARTICIPATIONS.ET.AUTRES.TITRES.DÉTENUS.À.LONG.TERME,PARTS.DANS.LES.ENTREPRISES.LIÉES,PRÊTS.SUBORDONNÉS,IMMOBILISATIONS.INCORPORELLES,IMMOBILISATIONS.CORPORELLES,BANQUE.CENTRALE.CCP,DETTES.INTERBANCAIRES.ET.ASSIMILÉES,DETTES.À.L.ÉGARD.DE.LA.CLIENTÈLE,DETTES.REPRÉSENTÉES.PAR.UN.TITRE,AUTRES.PASSIFS,PROVISIONS,EMPRUNTS.ET.TITRES.ÉMIS.SUBORDONNES,CAPITAUX.PROPRES.ET.RESSOURCES.ASSIMILÉES,CAPITAL.SOUSCRIT,PRIMES.LIÉES.AU.CAPITAL,RÉSERVES,ÉCARTS.DE.RÉÉVALUATION,PROVISIONS.RÉGLEMENTÉES,REPORT.À.NOUVEAU,RÉSULTAT.DE.LEXERCICE
BICIS,Groupes Internationaux,2016,279625.0,437494.0,349607.0,31523.0,451.0,32.0,131002.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICIS,Groupes Internationaux,2017,314239.0,442968.0,356535.0,40180.0,455.0,32.0,116328.0,24178.0,4588.0,173.0,13380.0,2976.0,1123.0,1309.0,1299.0,356.0,33542.0,0.0,20069.0,2098.0,11375.0,-2766.0,14141.0,99.0,14240.0,3884.0,10356.0,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICIS,Groupes Internationaux,2018,326424.0,463539.0,370987.0,47340.0,469.0,33.0,86472.0,24036.0,4772.0,213.0,13840.0,2138.0,2428.0,0.0,908.0,446.0,34069.0,0.0,19987.0,1953.0,12129.0,-507.0,12636.0,15.0,12651.0,3566.0,9085.0,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICIS,Groupes Internationaux,2019,346428.0,499528.0,385663.0,55884.0,483.0,33.0,86775.0,28170.0,5365.0,203.0,13718.0,2681.0,2496.0,,744.0,944.0,36341.0,,20104.0,1910.0,14327.0,2247.0,12080.0,234.0,12314.0,3770.0,8544.0,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICIS,Groupes Internationaux,2020,299014.0,483662.0,451441.0,,483.0,33.0,113171.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICIS,Groupes Internationaux,2021,301622.0,,,67569.0,,,,24926.0,4073.0,16.0,13295.0,1911.0,2599.0,0.0,330.0,4082.0,34774.0,0.0,20649.0,1963.0,12162.0,2906.0,9256.0,300.0,10556.0,2122.0,8434.0,bceao_pdf_2021,134817.0,81324.0,3454.0,301622.0,0.0,0.0,0.0,19930.0,7879.0,1139.0,0.0,0.0,528.0,7234.0,0.0,27197.0,430973.0,0.0,13474.0,3482.0,0.0,67569.0,10000.0,0.0,49135.0,0.0,0.0,0.0,8434.0
BICIS,Groupes Internationaux,2022,324279.0,,,64191.0,,,,25326.0,4105.0,125.0,14041.0,2442.0,2535.0,0.0,1597.0,962.0,34115.0,0.0,21742.0,1884.0,10489.0,4821.0,5668.0,157.0,5825.0,869.0,4956.0,bceao_pdf_2022,195035.0,113782.0,2406.0,324279.0,0.0,0.0,0.0,16166.0,8160.0,1139.0,0.0,0.0,503.0,7367.0,0.0,12074.0,563492.0,0.0,9564.0,3893.0,0.0,64191.0,10000.0,0.0,49235.0,0.0,0.0,0.0,4956.0
BIS,Groupes Règionaux,2015,155706.0,214264.0,168435.0,27059.0,132.0,23.0,30952.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIS,Groupes Règionaux,2016,174368.0,285684.0,230187.0,29609.0,163.0,26.0,42923.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIS,Groupes Règionaux,2017,232501.0,315392.0,259260.0,34467.0,182.0,27.0,53895.0,14721.0,7601.0,0.0,3699.0,,0.0,2830.0,3718.0,496.0,16871.0,,7615.0,632.0,8624.0,342.0,8282.0,0.0,8282.0,1904.0,6378.0,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
